"Arbeidsdeelname; provincie";;;;;;;;;
Perioden;2010;2011;2012;2013;2014;2015;2016;2017;2018 3e kwartaal
Onderwerpen;Beroepsbevolking;Beroepsbevolking;Beroepsbevolking;Beroepsbevolking;Beroepsbevolking;Beroepsbevolking;Beroepsbevolking;Beroepsbevolking;Beroepsbevolking
Onderwerpen;Werkloosheidspercentage;Werkloosheidspercentage;Werkloosheidspercentage;Werkloosheidspercentage;Werkloosheidspercentage;Werkloosheidspercentage;Werkloosheidspercentage;Werkloosheidspercentage;Werkloosheidspercentage
Perioden;2010;2011;2012;2013;2014;2015;2016;2017;2018 3e kwartaal
Nederland;5.0;5.0;5.8;7.3;7.4;6.9;6.0;4.9;3.6
Groningen (PV);5.8;6.0;6.8;8.1;8.5;8.5;7.4;6.2;4.5
Friesland (PV);5.2;5.2;6.3;7.9;8.0;7.3;6.3;5.2;3.5
Drenthe (PV);5.2;5.1;6.1;7.2;7.3;7.0;6.1;4.9;3.7
Overijssel (PV);5.0;4.9;5.6;7.2;7.1;6.7;6.3;4.9;3.5
Flevoland (PV);5.8;5.5;7.1;8.9;9.3;7.7;7.2;5.6;4.0
Gelderland (PV);4.7;4.6;5.3;6.7;7.0;6.4;5.7;4.5;3.4
Utrecht (PV);4.3;4.5;5.2;6.5;6.5;6.4;5.2;4.2;3.3
Noord-Holland (PV);4.9;5.1;5.8;7.3;7.2;6.5;5.7;4.8;3.7
Zuid-Holland (PV);5.4;5.5;6.7;8.0;8.3;7.8;6.9;5.5;4.0
Zeeland (PV);4.1;4.0;4.4;5.7;5.5;5.5;4.4;3.6;2.8
Noord-Brabant (PV);4.7;4.5;5.3;6.7;7.1;6.5;5.5;4.4;3.0
Limburg (PV);5.4;5.0;5.6;7.1;7.3;6.6;5.5;4.7;3.5
